SlNo,Metric,Description,Number,Formula,
1,CPI,The cost of generating one new install.,$6-$8,CPI = Total campaign spend / Number of app installs,
2,D1,D1: The percentage of new users who return to the game exactly one day after installing.,42%,,
3,D7,D7: The percentage of new users who return to the game exactly seven days after installing.,17%,,
4,DAU,DAU: The total number of unique players who open and engage with the game in a 24-hour period.,,,
5,MAU,MAU: The total number of unique players who open and engage with the game at least once within a 30-day period.,,,
6,Stickiness,Stickiness: The ratio of daily active users to monthly active users (DAU / MAU), indicating how frequently players return.,,DAU / MAU,
7,ARPDAU,ARPDAU: The average revenue generated per active user in a single day (Total Daily Revenue / DAU).,$1.24,,
8,ARPPU,ARPPU: The average revenue generated specifically from users who made a purchase (Total Revenue / Paying Users).,$12,,
9,ARPU,ARPU: The average revenue generated from all users over a specific period (Total Revenue / Total Users).,$2.62,,
10,LTV,LTV: The total estimated revenue a single user will generate throughout their entire time playing the game.,$1.34,,
11,ROAS-7,ROAS: A measure of advertising effectiveness calculated as revenue earned divided by the amount spent on marketing.,16%,ROAS = Revenue / Ad Spend,
